Type,RUN,TOOL,TPR,TNR,FPR,TP,TN,FP,FN,SHARED
Top_SNPs,n100/run2,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run2,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run20,MultiGWAS,0.4,0.953846153846154,0.0461538461538462,4,372,18,6,Shared1
Top_SNPs,n100/run20,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run20,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run20,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run21,MultiGWAS,0.3,0.946153846153846,0.0538461538461538,3,369,21,7,Shared1
Top_SNPs,n100/run21,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run21,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run21,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run22,MultiGWAS,0.5,0.966666666666667,0.0333333333333333,5,377,13,5,Shared1
Top_SNPs,n100/run22,GWASpoly,0.5,0.987179487179487,0.0128205128205128,5,385,5,5,Shared1
Top_SNPs,n100/run22,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run22,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run23,MultiGWAS,0.2,0.946153846153846,0.0538461538461538,2,369,21,8,Shared1
Top_SNPs,n100/run23,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run23,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run23,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run24,MultiGWAS,0.2,0.951282051282051,0.0487179487179487,2,371,19,8,Shared1
Top_SNPs,n100/run24,GWASpoly,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run24,GAPIT,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run24,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run25,MultiGWAS,0.2,0.956410256410256,0.0435897435897436,2,373,17,8,Shared1
Top_SNPs,n100/run25,GWASpoly,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run25,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run25,PLINK,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run26,MultiGWAS,0.3,0.956410256410256,0.0435897435897436,3,373,17,7,Shared1
Top_SNPs,n100/run26,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run26,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run26,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run27,MultiGWAS,0.3,0.951282051282051,0.0487179487179487,3,371,19,7,Shared1
Top_SNPs,n100/run27,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run27,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run27,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run28,MultiGWAS,0.3,0.948717948717949,0.0512820512820513,3,370,20,7,Shared1
Top_SNPs,n100/run28,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run28,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run28,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run29,MultiGWAS,0.2,0.956410256410256,0.0435897435897436,2,373,17,8,Shared1
Top_SNPs,n100/run29,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run29,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run29,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run3,MultiGWAS,0.3,0.948717948717949,0.0512820512820513,3,370,20,7,Shared1
Top_SNPs,n100/run3,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run3,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run3,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run30,MultiGWAS,0.3,0.948717948717949,0.0512820512820513,3,370,20,7,Shared1
Top_SNPs,n100/run30,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run30,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run30,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run31,MultiGWAS,0.2,0.946153846153846,0.0538461538461538,2,369,21,8,Shared1
Top_SNPs,n100/run31,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run31,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run31,PLINK,0.1,0.976923076923077,0.0230769230769231,1,381,9,9,Shared1
Top_SNPs,n100/run32,MultiGWAS,0.3,0.961538461538462,0.0384615384615385,3,375,15,7,Shared1
Top_SNPs,n100/run32,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run32,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run32,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run33,MultiGWAS,0.2,0.956410256410256,0.0435897435897436,2,373,17,8,Shared1
Top_SNPs,n100/run33,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run33,GAPIT,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run33,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run34,MultiGWAS,0.4,0.956410256410256,0.0435897435897436,4,373,17,6,Shared1
Top_SNPs,n100/run34,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run34,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run34,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run35,MultiGWAS,0.3,0.951282051282051,0.0487179487179487,3,371,19,7,Shared1
Top_SNPs,n100/run35,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run35,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run35,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run36,MultiGWAS,0.4,0.961538461538462,0.0384615384615385,4,375,15,6,Shared1
Top_SNPs,n100/run36,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run36,GAPIT,0.4,0.984615384615385,0.0153846153846154,4,384,6,6,Shared1
Top_SNPs,n100/run36,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run37,MultiGWAS,0.3,0.951282051282051,0.0487179487179487,3,371,19,7,Shared1
Top_SNPs,n100/run37,GWASpoly,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run37,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run37,PLINK,0.2,0.979487179487179,0.0205128205128205,2,382,8,8,Shared1
Top_SNPs,n100/run38,MultiGWAS,0.3,0.969230769230769,0.0307692307692308,3,378,12,7,Shared1
Top_SNPs,n100/run38,GWASpoly,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run38,GAPIT,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
Top_SNPs,n100/run38,PLINK,0.3,0.982051282051282,0.0179487179487179,3,383,7,7,Shared1
