RUN,TOOL,TPR,TNR,TP,TN,FP,FN
run22,PLINK,0.5,0.994871794871795,5,388,2,5
run22,SHEsis,0.2,0.994871794871795,2,388,2,8
run22,TASSEL,0.5,0.994871794871795,5,388,2,5
run23,MultiGWAS,0.5,1,5,390,0,5
run23,GWASpoly,0.2,1,2,390,0,8
run23,PLINK,0.5,1,5,390,0,5
run23,SHEsis,0.2,1,2,390,0,8
run23,TASSEL,0.5,1,5,390,0,5
run24,MultiGWAS,0.3,1,3,390,0,7
run24,GWASpoly,0.2,1,2,390,0,8
run24,PLINK,0.3,1,3,390,0,7
run24,SHEsis,0.2,1,2,390,0,8
run24,TASSEL,0.3,1,3,390,0,7
run25,MultiGWAS,0.5,0.997435897435897,5,389,1,5
run25,GWASpoly,0,1,0,390,0,10
run25,PLINK,0.5,1,5,390,0,5
run25,SHEsis,0.2,0.997435897435897,2,389,1,8
run25,TASSEL,0.5,1,5,390,0,5
run26,MultiGWAS,0.3,0.997435897435897,3,389,1,7
run26,GWASpoly,0.1,1,1,390,0,9
run26,PLINK,0.3,0.997435897435897,3,389,1,7
run26,SHEsis,0.2,0.997435897435897,2,389,1,8
run26,TASSEL,0.3,0.997435897435897,3,389,1,7
run27,MultiGWAS,0.3,1,3,390,0,7
run27,GWASpoly,0.1,1,1,390,0,9
run27,PLINK,0.3,1,3,390,0,7
run27,SHEsis,0.1,1,1,390,0,9
run27,TASSEL,0.3,1,3,390,0,7
run28,MultiGWAS,0.7,0.997435897435897,7,389,1,3
run28,GWASpoly,0.4,1,4,390,0,6
run28,PLINK,0.7,0.997435897435897,7,389,1,3
run28,SHEsis,0.4,1,4,390,0,6
run28,TASSEL,0.7,0.997435897435897,7,389,1,3
run29,MultiGWAS,0.5,1,5,390,0,5
run29,GWASpoly,0.1,1,1,390,0,9
run29,PLINK,0.5,1,5,390,0,5
run29,SHEsis,0.2,1,2,390,0,8
run29,TASSEL,0.5,1,5,390,0,5
run30,MultiGWAS,0.3,1,3,390,0,7
run30,GWASpoly,0.1,1,1,390,0,9
run30,PLINK,0.2,1,2,390,0,8
run30,SHEsis,0.1,1,1,390,0,9
run30,TASSEL,0.2,1,2,390,0,8
run31,MultiGWAS,0.9,0.997435897435897,9,389,1,1
run31,GWASpoly,0.2,1,2,390,0,8
run31,PLINK,0.9,0.997435897435897,9,389,1,1
run31,SHEsis,0.6,0.997435897435897,6,389,1,4
run31,TASSEL,0.9,0.997435897435897,9,389,1,1
run32,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run32,GWASpoly,0,1,0,390,0,10
run32,PLINK,0.6,0.98974358974359,6,386,4,4
run32,SHEsis,0.3,0.994871794871795,3,388,2,7
run32,TASSEL,0.6,0.98974358974359,6,386,4,4
run33,MultiGWAS,0.3,0.98974358974359,3,386,4,7
run33,GWASpoly,0.1,1,1,390,0,9
run33,PLINK,0.3,0.997435897435897,3,389,1,7
run33,SHEsis,0.2,0.98974358974359,2,386,4,8
run33,TASSEL,0.3,0.997435897435897,3,389,1,7
run34,MultiGWAS,0.4,0.997435897435897,4,389,1,6
run34,GWASpoly,0,1,0,390,0,10
run34,PLINK,0.4,0.997435897435897,4,389,1,6
run34,SHEsis,0.1,0.997435897435897,1,389,1,9
run34,TASSEL,0.4,0.997435897435897,4,389,1,6
run35,MultiGWAS,0.5,1,5,390,0,5
run35,GWASpoly,0,1,0,390,0,10
run35,PLINK,0.5,1,5,390,0,5
run35,SHEsis,0.2,1,2,390,0,8
run35,TASSEL,0.5,1,5,390,0,5
run36,MultiGWAS,0.3,1,3,390,0,7
run36,GWASpoly,0,1,0,390,0,10
run36,PLINK,0.3,1,3,390,0,7
run36,SHEsis,0.1,1,1,390,0,9
run36,TASSEL,0.3,1,3,390,0,7
run37,MultiGWAS,0.5,1,5,390,0,5
run37,GWASpoly,0.1,1,1,390,0,9
run37,PLINK,0.5,1,5,390,0,5
run37,SHEsis,0.3,1,3,390,0,7
run37,TASSEL,0.5,1,5,390,0,5
run38,MultiGWAS,0.4,1,4,390,0,6
run38,GWASpoly,0.1,1,1,390,0,9
run38,PLINK,0.4,1,4,390,0,6
run38,SHEsis,0.2,1,2,390,0,8
run38,TASSEL,0.4,1,4,390,0,6
run39,MultiGWAS,0.3,1,3,390,0,7
run39,GWASpoly,0.2,1,2,390,0,8
run39,PLINK,0.3,1,3,390,0,7
run39,SHEsis,0.2,1,2,390,0,8
run39,TASSEL,0.3,1,3,390,0,7
run40,MultiGWAS,0.4,1,4,390,0,6
run40,GWASpoly,0.2,1,2,390,0,8
run40,PLINK,0.4,1,4,390,0,6
run40,SHEsis,0.3,1,3,390,0,7
run40,TASSEL,0.4,1,4,390,0,6
run41,MultiGWAS,0.5,1,5,390,0,5
run41,GWASpoly,0.3,1,3,390,0,7
run41,PLINK,0.5,1,5,390,0,5
run41,SHEsis,0.2,1,2,390,0,8
run41,TASSEL,0.5,1,5,390,0,5
run42,MultiGWAS,0.4,1,4,390,0,6
run42,GWASpoly,0.3,1,3,390,0,7
run42,PLINK,0.4,1,4,390,0,6
run42,SHEsis,0.2,1,2,390,0,8
run42,TASSEL,0.4,1,4,390,0,6
run43,MultiGWAS,0.6,0.994871794871795,6,388,2,4
run43,GWASpoly,0.1,1,1,390,0,9
run43,PLINK,0.6,0.994871794871795,6,388,2,4
run43,SHEsis,0.3,1,3,390,0,7
run43,TASSEL,0.6,0.994871794871795,6,388,2,4
run44,MultiGWAS,0.7,0.997435897435897,7,389,1,3
run44,GWASpoly,0.2,1,2,390,0,8
run44,PLINK,0.7,0.997435897435897,7,389,1,3
run44,SHEsis,0.2,1,2,390,0,8
run44,TASSEL,0.7,0.997435897435897,7,389,1,3
run45,MultiGWAS,0.4,1,4,390,0,6
run45,GWASpoly,0,1,0,390,0,10
run45,PLINK,0.4,1,4,390,0,6
run45,SHEsis,0.1,1,1,390,0,9
run45,TASSEL,0.4,1,4,390,0,6
run46,MultiGWAS,0.3,1,3,390,0,7
run46,GWASpoly,0,1,0,390,0,10
run46,PLINK,0.3,1,3,390,0,7
run46,SHEsis,0.1,1,1,390,0,9
run46,TASSEL,0.3,1,3,390,0,7
run47,MultiGWAS,0.5,0.98974358974359,5,386,4,5
run47,GWASpoly,0.2,1,2,390,0,8
run47,PLINK,0.5,0.994871794871795,5,388,2,5
run47,SHEsis,0.1,0.994871794871795,1,388,2,9
run47,TASSEL,0.5,0.994871794871795,5,388,2,5
run48,MultiGWAS,0.5,0.992307692307692,5,387,3,5
run48,GWASpoly,0.3,0.997435897435897,3,389,1,7
run48,PLINK,0.5,0.997435897435897,5,389,1,5
run48,SHEsis,0.3,0.992307692307692,3,387,3,7
run48,TASSEL,0.5,0.997435897435897,5,389,1,5
run49,MultiGWAS,0.5,1,5,390,0,5
run49,GWASpoly,0.3,1,3,390,0,7
run49,PLINK,0.4,1,4,390,0,6
run49,SHEsis,0.4,1,4,390,0,6
run49,TASSEL,0.4,1,4,390,0,6
run50,MultiGWAS,0.7,0.997435897435897,7,389,1,3
run50,GWASpoly,0.6,0.997435897435897,6,389,1,4
run50,PLINK,0.6,0.997435897435897,6,389,1,4
run50,SHEsis,0.3,1,3,390,0,7
run50,TASSEL,0.6,0.997435897435897,6,389,1,4
