RUN,TOOL,TPR,TNR,TP,TN,FP,FN
run19,TASSEL,0.5,0.987179487179487,5,385,5,5
run20,MultiGWAS,0.7,0.992307692307692,7,387,3,3
run20,GWASpoly,0.5,0.987179487179487,5,385,5,5
run20,PLINK,0.7,0.992307692307692,7,387,3,3
run20,SHEsis,0.5,0.987179487179487,5,385,5,5
run20,TASSEL,0.7,0.992307692307692,7,387,3,3
run21,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run21,GWASpoly,0.6,0.98974358974359,6,386,4,4
run21,PLINK,0.5,0.987179487179487,5,385,5,5
run21,SHEsis,0.4,0.984615384615385,4,384,6,6
run21,TASSEL,0.5,0.987179487179487,5,385,5,5
run22,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run22,GWASpoly,0.4,0.984615384615385,4,384,6,6
run22,PLINK,0.5,0.987179487179487,5,385,5,5
run22,SHEsis,0.4,0.984615384615385,4,384,6,6
run22,TASSEL,0.5,0.987179487179487,5,385,5,5
run23,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run23,GWASpoly,0.5,0.987179487179487,5,385,5,5
run23,PLINK,0.5,0.987179487179487,5,385,5,5
run23,SHEsis,0.4,0.984615384615385,4,384,6,6
run23,TASSEL,0.5,0.987179487179487,5,385,5,5
run24,MultiGWAS,0.6,0.98974358974359,6,386,4,4
run24,GWASpoly,0.6,0.98974358974359,6,386,4,4
run24,PLINK,0.6,0.98974358974359,6,386,4,4
run24,SHEsis,0.3,0.982051282051282,3,383,7,7
run24,TASSEL,0.6,0.98974358974359,6,386,4,4
run25,MultiGWAS,0.5,0.987179487179487,5,385,5,5
run25,GWASpoly,0.6,0.98974358974359,6,386,4,4
run25,PLINK,0.5,0.987179487179487,5,385,5,5
run25,SHEsis,0.5,0.987179487179487,5,385,5,5
run25,TASSEL,0.5,0.987179487179487,5,385,5,5
run26,MultiGWAS,0.4,0.984615384615385,4,384,6,6
run26,GWASpoly,0.4,0.984615384615385,4,384,6,6
run26,PLINK,0.5,0.987179487179487,5,385,5,5
run26,SHEsis,0.4,0.984615384615385,4,384,6,6
run26,TASSEL,0.5,0.987179487179487,5,385,5,5
